Peak Name: Itraconazole-d9
Use as Internal Standard
Q1/Q3 Masses: 714.50/401.30 Da

Peak Name: Itraconazole
Internal Standard: Itraconazole-d9
Q1/Q3 Masses: 705.20/392.30 Da

Fit	Quadratic	Weighting	1  / (x * x)	Iterate	No
a0	0.00117
a1	0.0021
a2	9.2e-008
Correlation coefficient	0.9967
Use Area



Sample Name	Sample ID	Filetype	Sample Desc.	Set Number	Acquisition Method	Date Of Acq.	Rack Type	Rack Number	Vial Position	Plate Type	Plate Number	Filename	Dil.Factor	Weight To Volume Ratio	Sample Annotation	Sample Annotation	Peak Name	Units	Area	Analyte Peak Height for DAD	Height	Analyte Annotation	Conc.	R.T.	Expected RT	RT Window	Centroid Location	Start Scan	Start Time	End Scan	End Time	Integ.Type	S/N	Peak Width	Standard Query Status	Analyte Mass Range	Analyte Peak Area for DAD	Analyte/IS Area	Analyte/IS Height	Analyte Wavelength Ranges	Analyte UV Range	Analyte Peak Width at 50% Height	Analyte Slope of Baseline	Analyte Processing Alg.	Analyte Peak Asymmetry	IS Peak Name	IS Units	IS Area	IS Peak Area for DAD	IS Height	IS Peak Height for DAD	IS Conc.	IS R.T.	IS Expected RT	IS RT Window	IS Centroid Location	IS Start Scan	IS Start Time	IS Stop Scan	IS End Time	IS Integ.Type	IS S/N	IS Peak Width	IS Mass Range	IS Wavelength Ranges	IS UV Range	IS Peak Width at 50% Height	IS Slope of Baseline	IS Processing Alg.	IS Peak Asymmetry	Use Record	Record Modified	Calc.Conc.	Calculated Concentration for DAD	Rel.R.T.	Accuracy	Resp.Factor	Resp.Factor	Resp.Factor	
166 011 996183 F 1 1	11	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:53:13	Sample Manager w/ SO	1	7	Roundwell	5	Run 166\996183-S15-166-011.wiff	1.0	0.00			Itraconazole	ng/mL	13268.2	N/A	5.20e+003	N/A	500.	1.77	1.79	10.0	1.78	480	1.68	559	1.95	Base To Base	N/A	0.277	N/A	705.200/392.300 Da	N/A	1.03e+000	1.04e+000		N/A	0.0352	0.00e+000	Specify Parameters - MQIII	1.92	Itraconazole-d9	ng/mL	12819.6	N/A	4.98e+003	N/A	1.00	1.77	1.76	10.0	1.76	476	1.66	563	1.97	Base To Base	N/A	0.305	714.500/401.300 Da	N/A	N/A	3.94e-002	0.00e+000	Specify Parameters - MQIII	1.88	1	0	483.	N/A	1.00	96.5	0.00207	1.00	1.00	
166 012 996183 E 1 1	12	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 4:59:45	Sample Manager w/ SO	1	8	Roundwell	5	Run 166\996183-S15-166-012.wiff	1.0	0.00			Itraconazole	ng/mL	28622.6	N/A	1.05e+004	N/A	1000.	1.77	1.79	10.0	1.77	478	1.67	567	1.98	Base To Base	N/A	0.312	N/A	705.200/392.300 Da	N/A	2.40e+000	2.32e+000		N/A	0.0416	0.00e+000	Specify Parameters - MQIII	2.05	Itraconazole-d9	ng/mL	11934.7	N/A	4.55e+003	N/A	1.00	1.77	1.76	10.0	1.76	475	1.66	548	1.92	Base To Base	N/A	0.256	714.500/401.300 Da	N/A	N/A	4.16e-002	0.00e+000	Specify Parameters - MQIII	1.36	1	0	1090.	N/A	1.00	109.1	0.00240	1.00	1.00	
166 013 996183 D 1 1	13	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 5:06:17	Sample Manager w/ SO	1	9	Roundwell	5	Run 166\996183-S15-166-013.wiff	1.0	0.00			Itraconazole	ng/mL	45225.5	N/A	1.63e+004	N/A	2500.	1.78	1.79	10.0	1.78	479	1.67	573	2.00	Base To Base	N/A	0.329	N/A	705.200/392.300 Da	N/A	5.31e+000	5.15e+000		N/A	0.0415	0.00e+000	Specify Parameters - MQIII	2.16	Itraconazole-d9	ng/mL	8515.5	N/A	3.16e+003	N/A	1.00	1.77	1.76	10.0	1.76	480	1.68	540	1.89	Valley	N/A	0.210	714.500/401.300 Da	N/A	N/A	4.29e-002	0.00e+000	Specify Parameters - MQIII	1.38	1	0	2300.	N/A	1.01	92.0	0.00212	1.00	1.00	
166 014 996183 C 1 1	14	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 5:12:48	Sample Manager w/ SO	1	10	Roundwell	5	Run 166\996183-S15-166-014.wiff	1.0	0.00			Itraconazole	ng/mL	83789.9	N/A	3.12e+004	N/A	4500.	1.77	1.78	10.0	1.77	473	1.65	603	2.11	Base To Base	N/A	0.455	N/A	705.200/392.300 Da	N/A	1.16e+001	1.11e+001		N/A	0.0405	0.00e+000	Specify Parameters - MQIII	2.83	Itraconazole-d9	ng/mL	7222.1	N/A	2.80e+003	N/A	1.00	1.76	1.76	10.0	1.76	481	1.68	548	1.92	Base To Base	N/A	0.235	714.500/401.300 Da	N/A	N/A	4.05e-002	0.00e+000	Specify Parameters - MQIII	2.00	1	0	4600.	N/A	1.01	102.2	0.00258	1.00	1.00	
166 015 996183 B 1 1	15	Standard	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 5:19:20	Sample Manager w/ SO	1	11	Roundwell	5	Run 166\996183-S15-166-015.wiff	1.0	0.00			Itraconazole	ng/mL	92256.9	N/A	3.23e+004	N/A	5000.	1.77	1.78	10.0	1.77	476	1.66	582	2.03	Valley	N/A	0.371	N/A	705.200/392.300 Da	N/A	1.27e+001	1.25e+001		N/A	0.0439	4.87e-002	Specify Parameters - MQIII	2.39	Itraconazole-d9	ng/mL	7250.5	N/A	2.58e+003	N/A	1.00	1.76	1.76	10.0	1.76	481	1.68	532	1.86	Base To Base	N/A	0.179	714.500/401.300 Da	N/A	N/A	4.19e-002	0.00e+000	Specify Parameters - MQIII	1.19	1	0	4980.	N/A	1.01	99.6	0.00255	1.00	0.998	
166 016 996183 DB 1	16	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 5:25:52	Sample Manager w/ SO	1	87	Roundwell	5	Run 166\996183-S15-166-016.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.78	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		1	#DIV/0!	N/A	0.00	N/A	N/A	0.00	0.00	
166 017 996183 DB 1	17	Unknown	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 5:32:24	Sample Manager w/ SO	1	88	Roundwell	5	Run 166\996183-S15-166-017.wiff	1.0	0.00			Itraconazole	ng/mL	0.0	N/A	0.00e+000	N/A	N/A	0.00	1.78	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	N/A	705.200/392.300 Da	N/A	#DIV/0!	#DIV/0!		N/A	0.00	0.00e+000	Specify Parameters - MQIII	0.00	Itraconazole-d9	ng/mL	0.0	N/A	0.00e+000	N/A	1.00	0.00	1.76	10.0	0.00	0	0.00	0	0.00	No Peak	N/A	0.00	714.500/401.300 Da	N/A	N/A	0.00e+000	0.00e+000	Specify Parameters - MQIII	0.00		1	#DIV/0!	N/A	0.00	N/A	N/A	0.00	0.00	
166 018 996183 LQC 1 1	18	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 5:38:56	Sample Manager w/ SO	1	37	Roundwell	5	Run 166\996183-S15-166-018.wiff	1.0	0.00			Itraconazole	ng/mL	342.5	N/A	1.55e+002	N/A	15.0	1.77	1.78	10.0	1.77	493	1.72	522	1.82	Base To Base	N/A	0.102	N/A	705.200/392.300 Da	N/A	4.51e-002	5.24e-002		N/A	0.0362	0.00e+000	Specify Parameters - MQIII	1.19	Itraconazole-d9	ng/mL	7597.9	N/A	2.96e+003	N/A	1.00	1.76	1.76	10.0	1.76	479	1.67	527	1.84	Base To Base	N/A	0.168	714.500/401.300 Da	N/A	N/A	3.95e-002	0.00e+000	Specify Parameters - MQIII	0.972	1	0	20.9	N/A	1.01	139.4	0.00300	0.964	1.00	
166 019 996183 LQC 2 1	19	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 5:45:28	Sample Manager w/ SO	1	38	Roundwell	5	Run 166\996183-S15-166-019.wiff	1.0	0.00			Itraconazole	ng/mL	374.0	N/A	1.87e+002	N/A	15.0	1.77	1.78	10.0	1.77	483	1.69	523	1.83	Base To Base	N/A	0.140	N/A	705.200/392.300 Da	N/A	3.47e-002	4.39e-002		N/A	0.0263	0.00e+000	Specify Parameters - MQIII	0.702	Itraconazole-d9	ng/mL	10779.3	N/A	4.25e+003	N/A	1.00	1.76	1.76	10.0	1.76	475	1.66	531	1.86	Base To Base	N/A	0.196	714.500/401.300 Da	N/A	N/A	3.62e-002	0.00e+000	Specify Parameters - MQIII	0.927	1	0	16.0	N/A	1.00	106.5	0.00231	1.00	1.00	
166 020 996183 LQC 3 1	20	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 5:51:59	Sample Manager w/ SO	1	39	Roundwell	5	Run 166\996183-S15-166-020.wiff	1.0	0.00			Itraconazole	ng/mL	243.7	N/A	9.35e+001	N/A	15.0	1.77	1.78	10.0	1.77	487	1.70	519	1.81	Base To Base	N/A	0.112	N/A	705.200/392.300 Da	N/A	4.16e-002	4.30e-002		N/A	0.0599	0.00e+000	Specify Parameters - MQIII	0.699	Itraconazole-d9	ng/mL	5857.9	N/A	2.17e+003	N/A	1.00	1.76	1.76	10.0	1.76	478	1.67	532	1.86	Base To Base	N/A	0.189	714.500/401.300 Da	N/A	N/A	3.91e-002	0.00e+000	Specify Parameters - MQIII	1.19	1	0	19.3	N/A	1.01	128.4	0.00277	0.983	1.00	
166 021 996183 LQC 4 1	21	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 5:58:31	Sample Manager w/ SO	1	40	Roundwell	5	Run 166\996183-S15-166-021.wiff	1.0	0.00			Itraconazole	ng/mL	302.5	N/A	1.20e+002	N/A	15.0	1.76	1.78	10.0	1.77	492	1.72	525	1.83	Base To Base	N/A	0.116	N/A	705.200/392.300 Da	N/A	3.61e-002	3.15e-002		N/A	0.0376	0.00e+000	Specify Parameters - MQIII	1.72	Itraconazole-d9	ng/mL	8389.4	N/A	3.82e+003	N/A	1.00	1.76	1.76	10.0	1.75	480	1.68	530	1.85	Valley	N/A	0.175	714.500/401.300 Da	N/A	N/A	2.80e-002	0.00e+000	Specify Parameters - MQIII	1.19	1	0	16.6	N/A	1.00	110.8	0.00240	0.945	1.00	
166 022 996183 LQC 5 1	22	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 6:05:02	Sample Manager w/ SO	1	41	Roundwell	5	Run 166\996183-S15-166-022.wiff	1.0	0.00			Itraconazole	ng/mL	121.9	N/A	5.09e+001	N/A	15.0	1.78	1.78	10.0	1.76	489	1.71	517	1.81	Base To Base	N/A	0.0980	N/A	705.200/392.300 Da	N/A	2.43e-002	2.93e-002		N/A	0.0465	0.00e+000	Specify Parameters - MQIII	0.319	Itraconazole-d9	ng/mL	5022.0	N/A	1.74e+003	N/A	1.00	1.76	1.76	10.0	1.75	471	1.65	523	1.83	Base To Base	N/A	0.182	714.500/401.300 Da	N/A	N/A	4.40e-002	0.00e+000	Specify Parameters - MQIII	0.654	1	0	11.0	N/A	1.02	73.4	0.00162	1.00	1.00	
166 023 996183 LQC 6 1	23	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 6:11:32	Sample Manager w/ SO	1	42	Roundwell	5	Run 166\996183-S15-166-023.wiff	1.0	0.00			Itraconazole	ng/mL	155.5	N/A	6.02e+001	N/A	15.0	1.75	1.78	10.0	1.76	489	1.71	516	1.80	Base To Base	N/A	0.0945	N/A	705.200/392.300 Da	N/A	3.58e-002	3.79e-002		N/A	0.0479	0.00e+000	Specify Parameters - MQIII	1.10	Itraconazole-d9	ng/mL	4347.6	N/A	1.59e+003	N/A	1.00	1.76	1.76	10.0	1.76	484	1.69	528	1.85	Base To Base	N/A	0.154	714.500/401.300 Da	N/A	N/A	4.46e-002	0.00e+000	Specify Parameters - MQIII	1.15	1	0	16.5	N/A	0.995	109.9	0.00238	0.945	0.998	
166 024 996183 MQC 1 1	24	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 6:18:05	Sample Manager w/ SO	1	43	Roundwell	5	Run 166\996183-S15-166-024.wiff	1.0	0.00			Itraconazole	ng/mL	2813.5	N/A	1.07e+003	N/A	300.	1.76	1.78	10.0	1.76	486	1.70	527	1.84	Base To Base	N/A	0.144	N/A	705.200/392.300 Da	N/A	6.80e-001	7.57e-001		N/A	0.0407	0.00e+000	Specify Parameters - MQIII	1.24	Itraconazole-d9	ng/mL	4137.4	N/A	1.41e+003	N/A	1.00	1.76	1.76	10.0	1.75	477	1.67	526	1.84	Base To Base	N/A	0.172	714.500/401.300 Da	N/A	N/A	4.39e-002	0.00e+000	Specify Parameters - MQIII	0.825	1	0	319.	N/A	1.00	106.4	0.00227	0.996	1.00	
166 025 996183 MQC 2 1	25	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 6:24:36	Sample Manager w/ SO	1	44	Roundwell	5	Run 166\996183-S15-166-025.wiff	1.0	0.00			Itraconazole	ng/mL	4742.2	N/A	1.73e+003	N/A	300.	1.77	1.77	10.0	1.76	481	1.68	532	1.86	Base To Base	N/A	0.179	N/A	705.200/392.300 Da	N/A	6.45e-001	5.28e-001		N/A	0.0400	0.00e+000	Specify Parameters - MQIII	0.987	Itraconazole-d9	ng/mL	7355.9	N/A	3.28e+003	N/A	1.00	1.75	1.76	10.0	1.75	481	1.68	533	1.86	Base To Base	N/A	0.182	714.500/401.300 Da	N/A	N/A	4.01e-002	-5.58e-001	Specify Parameters - MQIII	1.58	1	0	303.	N/A	1.01	100.9	0.00215	1.00	1.00	
166 026 996183 MQC 3 1	26	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 6:31:08	Sample Manager w/ SO	1	45	Roundwell	5	Run 166\996183-S15-166-026.wiff	1.0	0.00			Itraconazole	ng/mL	5504.8	N/A	1.97e+003	N/A	300.	1.76	1.78	10.0	1.76	485	1.69	527	1.84	Valley	N/A	0.147	N/A	705.200/392.300 Da	N/A	7.24e-001	6.08e-001		N/A	0.0436	0.00e+000	Specify Parameters - MQIII	1.14	Itraconazole-d9	ng/mL	7600.5	N/A	3.24e+003	N/A	1.00	1.76	1.76	10.0	1.75	478	1.67	540	1.89	Base To Base	N/A	0.217	714.500/401.300 Da	N/A	N/A	3.70e-002	0.00e+000	Specify Parameters - MQIII	1.38	1	0	340.	N/A	1.00	113.2	0.00241	0.999	1.00	
166 027 996183 MQC 4 1	27	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 6:37:40	Sample Manager w/ SO	1	46	Roundwell	5	Run 166\996183-S15-166-027.wiff	1.0	0.00			Itraconazole	ng/mL	5344.6	N/A	2.21e+003	N/A	300.	1.77	1.77	10.0	1.76	484	1.69	523	1.83	Base To Base	N/A	0.137	N/A	705.200/392.300 Da	N/A	6.93e-001	7.18e-001		N/A	0.0407	0.00e+000	Specify Parameters - MQIII	0.783	Itraconazole-d9	ng/mL	7713.5	N/A	3.08e+003	N/A	1.00	1.75	1.76	10.0	1.75	476	1.66	532	1.86	Base To Base	N/A	0.196	714.500/401.300 Da	N/A	N/A	3.62e-002	0.00e+000	Specify Parameters - MQIII	1.18	1	0	325.	N/A	1.01	108.4	0.00231	0.993	1.00	
166 028 996183 MQC 5 1	28	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 6:44:12	Sample Manager w/ SO	1	47	Roundwell	5	Run 166\996183-S15-166-028.wiff	1.0	0.00			Itraconazole	ng/mL	3395.6	N/A	1.37e+003	N/A	300.	1.77	1.78	10.0	1.77	481	1.68	530	1.85	Base To Base	N/A	0.172	N/A	705.200/392.300 Da	N/A	6.80e-001	7.62e-001		N/A	0.0397	0.00e+000	Specify Parameters - MQIII	1.01	Itraconazole-d9	ng/mL	4992.1	N/A	1.80e+003	N/A	1.00	1.76	1.76	10.0	1.75	477	1.67	530	1.85	Base To Base	N/A	0.186	714.500/401.300 Da	N/A	N/A	4.41e-002	1.00e+000	Specify Parameters - MQIII	1.03	1	0	319.	N/A	1.00	106.4	0.00227	1.00	0.999	
166 029 996183 MQC 6 1	29	Quality Control	none	0	996183-S15-2022-04-25 A2B2C2.dam	26-Apr-2022 6:50:45	Sample Manager w/ SO	1	48	Roundwell	5	Run 166\996183-S15-166-029.wiff	1.0	0.00			Itraconazole	ng/mL	3004.3	N/A	1.08e+003	N/A	300.	1.77	1.77	10.0	1.76	482	1.68	535	1.87	Base To Base	N/A	0.186	N/A	705.200/392.300 Da	N/A	6.65e-001	6.88e-001		N/A	0.0418	0.00e+000	Specify Parameters - MQIII	1.13	Itraconazole-d9	ng/mL	4519.4	N/A	1.57e+003	N/A	1.00	1.75	1.76	10.0	1.75	478	1.67	522	1.82	Base To Base	N/A	0.154	714.500/401.300 Da	N/A	N/A	4.99e-002	0.00e+000	Specify Parameters - MQIII	1.02	1	0	312.	N/A	1.01	104.0	0.00222	1.00	1.00	
